"filename", "language", "JSON", "TypeScript", "JSON with Comments", "vue", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\topic\index.vue", "vue", 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\user\detail.vue", "vue", 0, 0, 0, 122, 0, 0, 0, 0, 0, 9, 131
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\user\index.vue", "vue", 0, 0, 0, 147, 0, 0, 0, 0, 3, 8, 158
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\error-page\404.vue", "vue", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\login.vue", "vue", 0, 0, 0, 97, 0, 0, 0, 0, 0, 12, 109
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\student\courses\index.vue", "vue", 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 62
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\student\topicDetail\index.vue", "vue", 0, 0, 0, 127, 0, 0, 0, 0, 0, 16, 143
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\student\topicList\index.vue", "vue", 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 45
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\teacher\addTopic\index.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\teacher\classDetail\index.vue", "vue", 0, 0, 0, 94, 0, 0, 0, 0, 0, 5, 99
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\teacher\courseDetail\index.vue", "vue", 0, 0, 0, 141, 0, 0, 0, 0, 0, 15, 156
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\teacher\courses\index.vue", "vue", 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\teacher\reportDetail\index.vue", "vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\teacher\topicUploadDetail\index.vue", "vue", 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 63
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\teacher\topics\index.vue", "vue", 0, 0, 0, 135, 0, 0, 0, 0, 4, 11, 150
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\tsconfig.node.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 2796, 834, 22, 1805, 26, 70, 2, 33, 230, 245, 6063
